sa2_name_2011,longitude,latitude,points,focal_longitude,focal_latitude,focal_dist,focal_angle,points1,focal_longitude1,focal_latitude1,focal_distance1,angle1,rownumber,hex_long,hex_lat,hex_id
Fortitude Valley,153.0353612890887,-27.456181896471286,Brisbane,153.0350927,-27.45503091,130.27632931809927,168.30091119432407,Brisbane,153.0350927,-27.45503091,130.27632931809927,168.30091119432407,1,152.99563915835628,-27.67194863713462,98979
Civic,149.1292630914338,-35.281292937561574,Canberra,149.1290262,-35.28302855,193.76173104110737,6.3574966082169295,Canberra,149.1290262,-35.28302855,193.76173104110737,6.3574966082169295,2,149.1956391583563,-34.94656202892391,78044
Moonah,147.29579303987373,-42.84578442053251,Hobart,147.2950297,-42.85000853,473.3873164526087,7.546893035823237,Hobart,147.2950297,-42.85000853,473.3873164526087,7.546893035823237,3,147.2956391583563,-42.740790662983855,55624
East Melbourne,144.9814961417288,-37.81715264943452,Melbourne,144.9750162,-37.82003131,653.9235286312692,60.64624172409394,Melbourne,144.9750162,-37.82003131,653.9235286312692,60.64624172409394,4,145.09563915835628,-37.54463824027722,70553
Adelaide,138.60063377605886,-34.9285557704008,Adelaide,138.6000048,-34.93498777,715.8744606354736,4.583444655151518,Adelaide,138.6000048,-34.93498777,715.8744606354736,4.583444655151518,5,138.69563915835627,-34.77335694816701,78489
Reid,149.13897366116277,-35.28576768588094,Canberra,149.1290262,-35.28302855,954.6002437602725,108.63789176577063,Canberra,149.1290262,-35.28302855,954.6002437602725,108.63789176577063,6,148.99563915835628,-34.94656202892391,78043
Newstead - Bowen Hills,153.04063139085966,-27.44791881437635,Brisbane,153.0350927,-27.45503091,959.6304825718963,34.64638579804412,Brisbane,153.0350927,-27.45503091,959.6304825718963,34.64638579804412,7,153.1956391583563,-27.32553847562084,99976
Southbank,144.96748412985315,-37.82637703656558,Melbourne,144.9750162,-37.82003131,967.3944684217647,-136.8428298017267,Melbourne,144.9750162,-37.82003131,967.3944684217647,-136.8428298017267,8,144.8956391583563,-37.891048401791,69556
Parap,130.8450225521807,-12.432637026418899,Darwin,130.8500386,-12.42535398,972.9276520406316,-146.0751593476318,Darwin,130.8500386,-12.42535398,972.9276520406316,-146.0751593476318,9,130.7956391583563,-12.77631169204227,141696
Ludmilla - The Narrows,130.8525728465898,-12.416680148675487,Darwin,130.8500386,-12.42535398,998.3326893658518,15.924913597899874,Darwin,130.8500386,-12.42535398,998.3326893658518,15.924913597899874,10,130.8956391583563,-12.25669644977161,143190
West Moonah,147.28143389294596,-42.84960459128587,Hobart,147.2950297,-42.85000853,1112.221231686407,-87.67472903784223,Hobart,147.2950297,-42.85000853,1112.221231686407,-87.67472903784223,11,147.09563915835628,-42.740790662983855,55623
Spring Hill,153.0246975526906,-27.45943705889577,Brisbane,153.0350927,-27.45503091,1137.6654109580109,-115.53016585035792,Brisbane,153.0350927,-27.45503091,1137.6654109580109,-115.53016585035792,12,152.7956391583563,-27.67194863713462,98978
Kings Park (WA),115.83160354929191,-31.962520297704874,Perth,115.8399987,-31.95501463,1150.0227904644016,-136.49746263207504,Perth,115.8399987,-31.95501463,1150.0227904644016,-136.49746263207504,13,115.69563915835627,-32.00207565605681,86342
Acton,149.11680008983336,-35.28035515813381,Canberra,149.1290262,-35.28302855,1151.1324514971775,-75.00107744753596,Canberra,149.1290262,-35.28302855,1151.1324514971775,-75.00107744753596,14,148.99563915835628,-35.29297219043768,77047
New Town,147.30837083993038,-42.85620663765581,Hobart,147.2950297,-42.85000853,1289.636498129614,122.35905444020665,Hobart,147.2950297,-42.85000853,1289.636498129614,122.35905444020665,15,146.99563915835628,-42.91399574374074,55125
Melbourne,144.96255406441483,-37.81368076895258,Melbourne,144.9750162,-37.82003131,1304.1884526415568,-57.17143657842481,Melbourne,144.9750162,-37.82003131,1304.1884526415568,-57.17143657842481,16,144.7956391583563,-37.71784332103411,70054
Erskineville - Alexandria,151.19150597484528,-33.90847065822905,Sydney,151.1851798,-33.92001097,1407.4193637362303,24.460001789762508,Sydney,151.1851798,-33.92001097,1407.4193637362303,24.460001789762508,17,151.2956391583563,-33.734126463625685,81540
Sydenham - Tempe - St Peters,151.16936525323348,-33.92047799329082,Sydney,151.1851798,-33.92001097,1463.3099693541897,-92.03375464921984,Sydney,151.1851798,-33.92001097,1463.3099693541897,-92.03375464921984,18,150.99563915835628,-33.90733154438257,81041
Braddon,149.13568770473725,-35.27077517547904,Canberra,149.1290262,-35.28302855,1488.439895802359,23.930538030891615,Canberra,149.1290262,-35.28302855,1488.439895802359,23.930538030891615,19,149.2956391583563,-35.119767109680794,77546
Turner,149.12472840405044,-35.268771316582765,Canberra,149.1290262,-35.28302855,1629.396760836006,-13.824243403142946,Canberra,149.1290262,-35.28302855,1629.396760836006,-13.824243403142946,20,149.09563915835628,-35.119767109680794,77545
New Farm,153.04558705351837,-27.46637629807403,Brisbane,153.0350927,-27.45503091,1629.9137480527522,140.6195410033266,Brisbane,153.0350927,-27.45503091,1629.9137480527522,140.6195410033266,21,153.1956391583563,-27.67194863713462,98980
Fannie Bay - The Gardens,130.83747116583268,-12.435220158334216,Darwin,130.8500386,-12.42535398,1748.8251819123805,-128.79457697501078,Darwin,130.8500386,-12.42535398,1748.8251819123805,-128.79457697501078,22,130.49563915835628,-12.603106611285384,142192
Mascot - Eastlakes,151.20124314687217,-33.92941389693205,Sydney,151.1851798,-33.92001097,1814.9384328939307,125.19670961433306,Sydney,151.1851798,-33.92001097,1814.9384328939307,125.19670961433306,23,151.3956391583563,-34.25374170589635,80047
Lake Burley Griffin,149.11457367664534,-35.294840960048646,Canberra,149.1290262,-35.28302855,1856.32548874422,-135.03356197365824,Canberra,149.1290262,-35.28302855,1856.32548874422,-135.03356197365824,24,148.8956391583563,-35.46617727119457,76548
Brisbane City,153.02285069811163,-27.46810265236281,Brisbane,153.0350927,-27.45503091,1887.4425879007356,-140.27070015508679,Brisbane,153.0350927,-27.45503091,1887.4425879007356,-140.27070015508679,25,152.8956391583563,-27.845153717891506,98480
